active,item_id,name,brand,category,price,original_price,discount,badge,specs,keywords,variants,link_shopee,in_stock,updated_at
TRUE,49011246861,[COMBO] 2 túi Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải thơm lâu 2 túi tổng 3.6kg,Oplus,Nước giặt,133479,290171,54%,NEW_ARRIVAL_TOP_1,[COMBO] 2 túi Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải thơm lâu 2 túi tổng 3.6kg,2in1; moi nhat; moi ra; nước giặt; oplus,Oplus,https://shopee.vn/-COMBO-2-t%C3%BAi-N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-x%E1%BA%A3-2in1-Oplus-H%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-hoa-Ph%C3%A1p-S%E1%BA%A1ch-s%C3%A2u-m%E1%BB%81m-v%E1%BA%A3i-th%C6%A1m-l%C3%A2u-2-t%C3%BAi-t%E1%BB%95ng-3.6kg-i.20523065.49011246861,TRUE,2026-08-18
TRUE,44862653278,Bột giặt Oplus túi 720g 5.5kg hương hoa trắng xạ hương giặt tay giặt máy sạch vết bẩn làm mới quần áo sỉn màu,Oplus,Bột giặt,66000,110000,40%,NEW_ARRIVAL_TOP_4,Bột giặt Oplus túi 720g 5.5kg hương hoa trắng xạ hương giặt tay giặt máy sạch vết bẩn làm mới quần áo sỉn màu,bột giặt; moi nhat; moi ra; oplus,Oplus,https://shopee.vn/B%E1%BB%99t-gi%E1%BA%B7t-Oplus-t%C3%BAi-720g-5.5kg-h%C6%B0%C6%A1ng-hoa-tr%E1%BA%AFng-x%E1%BA%A1-h%C6%B0%C6%A1ng-gi%E1%BA%B7t-tay-gi%E1%BA%B7t-m%C3%A1y-s%E1%BA%A1ch-v%E1%BA%BFt-b%E1%BA%A9n-l%C3%A0m-m%E1%BB%9Bi-qu%E1%BA%A7n-%C3%A1o-s%E1%BB%89n-m%C3%A0u-i.20523065.44862653278,TRUE,2026-08-18
TRUE,40701777345,[MUA 1 TẶNG 1] Nước hoa treo xe ô tô Pano Hương nước hoa Pháp Khử mùi tỏa hương thư giãn [COMBO] 2 chai,PANO,Tẩy rửa & Giặt giũ,36000,60000,40%,NEW_ARRIVAL_TOP_5,[MUA 1 TẶNG 1] Nước hoa treo xe ô tô Pano Hương nước hoa Pháp Khử mùi tỏa hương thư giãn [COMBO] 2 chai,moi nhat; moi ra; pano; treo xe; tẩy rửa & giặt giũ,PANO,https://shopee.vn/-MUA-1-T%E1%BA%B6NG-1-N%C6%B0%E1%BB%9Bc-hoa-treo-xe-%C3%B4-t%C3%B4-Pano-H%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-hoa-Ph%C3%A1p-Kh%E1%BB%AD-m%C3%B9i-t%E1%BB%8Fa-h%C6%B0%C6%A1ng-th%C6%B0-gi%C3%A3n-COMBO-2-chai-i.20523065.40701777345,TRUE,2026-08-18
TRUE,52863457457,Nước lau kính ZeO Hương trà xanh Sáng bóng khô nhanh không để lại vệt Chai 570ml,ZeO,Nước lau kính,30100,43000,30%,NEW_ARRIVAL_TOP_6,Nước lau kính ZeO Hương trà xanh Sáng bóng khô nhanh không để lại vệt Chai 570ml,moi nhat; moi ra; nước lau kính; zeo,ZeO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-lau-k%C3%ADnh-ZeO-H%C6%B0%C6%A1ng-tr%C3%A0-xanh-S%C3%A1ng-b%C3%B3ng-kh%C3%B4-nhanh-kh%C3%B4ng-%C4%91%E1%BB%83-l%E1%BA%A1i-v%E1%BB%87t-Chai-570ml-i.20523065.52863457457,TRUE,2026-08-18
TRUE,57513424600,[CAN TO TIẾT KIỆM] Nước giặt Pano Hương nước hoa Pháp Sạch sâu khử mùi lưu hương lâu Can 3.8kg,PANO,Nước giặt,123291,205485,40%,NEW_ARRIVAL_TOP_7,[CAN TO TIẾT KIỆM] Nước giặt Pano Hương nước hoa Pháp Sạch sâu khử mùi lưu hương lâu Can 3.8kg,can 3.8kg; moi nhat; moi ra; nước giặt; pano,PANO,https://shopee.vn/-CAN-TO-TI%E1%BA%BET-KI%E1%BB%86M-N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-Pano-H%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-hoa-Ph%C3%A1p-S%E1%BA%A1ch-s%C3%A2u-kh%E1%BB%AD-m%C3%B9i-l%C6%B0u-h%C6%B0%C6%A1ng-l%C3%A2u-Can-3.8kg-i.20523065.57513424600,TRUE,2026-08-18
TRUE,52213417021,[GÓI TIẾT KIỆM] Bột giặt Nha Đam ZeO Hương Fresh Floral Green Dịu nhẹ sạch vết bẩn lưu hương kép Túi 2.7kg 4.1kg,ZeO,Bột giặt,114855,185250,38%,NEW_ARRIVAL_TOP_9,[GÓI TIẾT KIỆM] Bột giặt Nha Đam ZeO Hương Fresh Floral Green Dịu nhẹ sạch vết bẩn lưu hương kép Túi 2.7kg 4.1kg,bột giặt; fresh; moi nhat; moi ra; zeo,ZeO,https://shopee.vn/-G%C3%93I-TI%E1%BA%BET-KI%E1%BB%86M-B%E1%BB%99t-gi%E1%BA%B7t-Nha-%C4%90am-ZeO-H%C6%B0%C6%A1ng-Fresh-Floral-Green-D%E1%BB%8Bu-nh%E1%BA%B9-s%E1%BA%A1ch-v%E1%BA%BFt-b%E1%BA%A9n-l%C6%B0u-h%C6%B0%C6%A1ng-k%C3%A9p-T%C3%BAi-2.7kg-4.1kg-i.20523065.52213417021,TRUE,2026-08-18
TRUE,49063164373,[GIẶT NHANH] Nước giặt Bio Enzyme ZeO Hương tươi mát Đánh bay vết bẩn protein lưu hương Can 2kg 9kg,ZeO,Nước giặt,104357,168317,38%,NEW_ARRIVAL,[GIẶT NHANH] Nước giặt Bio Enzyme ZeO Hương tươi mát Đánh bay vết bẩn protein lưu hương Can 2kg 9kg,bio enzyme; moi nhat; moi ra; nước giặt; zeo,ZeO,https://shopee.vn/-GI%E1%BA%B6T-NHANH-N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-Bio-Enzyme-ZeO-H%C6%B0%C6%A1ng-t%C6%B0%C6%A1i-m%C3%A1t-%C4%90%C3%A1nh-bay-v%E1%BA%BFt-b%E1%BA%A9n-protein-l%C6%B0u-h%C6%B0%C6%A1ng-Can-2kg-9kg-i.20523065.49063164373,TRUE,2026-08-18
TRUE,44512305208,[MỚI] Nước lau sàn Oplus Hương sả chanh Khử mùi sạch bóng sàn gỗ gạch men Can 1kg 3.6kg,Oplus,Nước lau sàn,34450,53000,35%,NEW_ARRIVAL,[MỚI] Nước lau sàn Oplus Hương sả chanh Khử mùi sạch bóng sàn gỗ gạch men Can 1kg 3.6kg,moi nhat; moi ra; nước lau sàn; oplus,Oplus,https://shopee.vn/-M%E1%BB%9AI-N%C6%B0%E1%BB%9Bc-lau-s%C3%A0n-Oplus-H%C6%B0%C6%A1ng-s%E1%BA%A3-chanh-Kh%E1%BB%AD-m%C3%B9i-s%E1%BA%A1ch-b%C3%B3ng-s%C3%A0n-g%E1%BB%97-g%E1%BA%A1ch-men-Can-1kg-3.6kg-i.20523065.44512305208,TRUE,2026-08-18
TRUE,42923415834,Nước giặt Pano Active combo 2 túi 1.8kg tặng nước rửa chén 200g hương nước hoa Pháp giặt tay giặt máy sạch sâu,PANO,Nước giặt,147582,238035,38%,NEW_ARRIVAL,Nước giặt Pano Active combo 2 túi 1.8kg tặng nước rửa chén 200g hương nước hoa Pháp giặt tay giặt máy sạch sâu,1.8kg; active; moi nhat; moi ra; nước giặt; pano,PANO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-Pano-Active-combo-2-t%C3%BAi-1.8kg-t%E1%BA%B7ng-n%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-ch%C3%A9n-200g-h%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-hoa-Ph%C3%A1p-gi%E1%BA%B7t-tay-gi%E1%BA%B7t-m%C3%A1y-s%E1%BA%A1ch-s%C3%A2u-i.20523065.42923415834,TRUE,2026-08-18
TRUE,44123415679,Nước giặt Pano Fresh combo 2 gói 1 8kg tặng 1 nước rửa chén 200g hương hoa trắng giặt tay giặt máy sạch sâu vết bẩn,PANO,Nước giặt,115795,241239,52%,NEW_ARRIVAL,Nước giặt Pano Fresh combo 2 gói 1 8kg tặng 1 nước rửa chén 200g hương hoa trắng giặt tay giặt máy sạch sâu vết bẩn,fresh; moi nhat; moi ra; nước giặt; pano,PANO,https://shopee.vn/N%C6%B0%E1%BB%9Bc-gi%E1%BA%B7t-Pano-Fresh-combo-2-g%C3%B3i-1-8kg-t%E1%BA%B7ng-1-n%C6%B0%E1%BB%9Bc-r%E1%BB%ADa-ch%C3%A9n-200g-h%C6%B0%C6%A1ng-hoa-tr%E1%BA%AFng-gi%E1%BA%B7t-tay-gi%E1%BA%B7t-m%C3%A1y-s%E1%BA%A1ch-s%C3%A2u-v%E1%BA%BFt-b%E1%BA%A9n-i.20523065.44123415679,TRUE,2026-08-18
